plough, truck, gate, pizzas, push, pail, aunt, payment, wheel, roof, veil, fuel, growth, list, play, beam
13831, -0.001619, 404, 0, 0, brake, ., 0, 0.000011, 0, 0, 1, 0, 11, -24.605408, 483650869
1688, -0.002022, 8501943, 0, 2920089, aftermath, a, 0, -0.177060, 0, 0, 0, 1, 2, 0.058987, 829076
14, -0.000000, 1, 1, 2, paint, M, 1, 12.297873, 1, 0, 0, 0, 0, 0.195866, 3234
267, -0.489112, 439996470, 1, b3, disgust, k, 0, -27.937719, 0, 0, 0, 1, 28, -0.000008, 1067816
13, -0.008814, 115371, 0, 14, chess, V, 1, -1.321898, 0, 0, 1, 3, 0, 0.005569, 29458701
23798, 0.003259, 519619739, 1, 13a1, can, %, 0, 19.071707, 1, 0, 0, 0, 30, -0.496738, 1
13488, 1.876024, 389526, 1, 3cf4201, flame, ], 0, -0.000009, 0, 1, 0, 1, 0, -748.891479, 78813702
330, 0.060256, 1435252, 1, 1c3cd, glove, ;, 0, -0.000002, 0, 1, 0, 26, 15, 0.000046, 138586
2, -0.014836, 1075211, 0, 0, spoon, A, 0, 2.837644, 1, 1, 1, 1, 2, 250.416382, 8
3, 0.000033, 3198, 0, 252, boy, T, 1, -0.000003, 0, 1, 1, 21, 2, 0.000000, 29956153
0, -0.008542, 0, 0, 2, governor, <, 1, 0.000488, 0, 1, 0, 17, 10, -0.000004, 567424
180, 6.412601, 22706, 1, 458cc1, vacation, Q, 0, -0.559323, 1, 0, 1, 80, 28, 25.444756, 255861904
1, 3.145414, 641, 0, 27cb, surprise, X, 0, 0.000046, 0, 0, 0, 13, 221, -0.176659, 15586680
459, -0.000109, 7812871, 1, 3, act, a, 1, -0.000012, 1, 1, 0, 1, 1, -0.048630, 251
3340, -0.000089, 2013201636, 0, 4, seed, z, 0, 0.000194, 1, 1, 0, 20, 2, 25.747623, 18
126, -0.000002, 560561811, 1, 0, cow, !, 0, 0.000000, 0, 0, 0, 1, 55, 331.239227, 29480299
12672, -0.004924, 318, 1, 0, scene, 1, 1, 0.000053, 0, 1, 1, 59, 66, -0.003788, 3
40324, -0.000079, 76, 0, acf, chair, 9, 0, -0.003260, 1, 0, 1, 255, 4, 0.001820, 58644
38, -0.000000, 6741248, 1, aa, force, 1, 1, -0.000001, 1, 1, 0, 3, 41, -0.023098, 3
2, -0.014836, 839, 1, f37a, farmer, c, 1, 2.837644, 1, 0, 0, 0, 6, 0.001667, 1407
142, -0.010992, 137310763, 0, b7, amusement, I, 1, -0.000000, 1, 1, 1, 19, 23, -45.208786, 8
521, -0.005827, 2723, 1, 85a616, walk, (, 1, 0.000027, 1, 0, 0, 2, 81, -2274.599121, 934506
50124, 15.989379, 80389140, 0, 0, middle, k, 0, -0.000115, 1, 1, 0, 52, 0, 0.000080, 1696
31816, -29.931868, 3519, 0, 196, trucks, k, 0, 0.000000, 0, 1, 0, 46, 106, 0.000000, 396
1, 0.000801, 116587, 0, b1e, lip, K, 0, 0.000000, 1, 1, 1, 0, 3, 0.011677, 26
123, 0.020207, 188834, 1, edb24, pollution, u, 0, -0.000000, 1, 1, 1, 30, 108, -93.834351, 43812301
1, -0.000026, 6262, 1, 26d, leg, D, 1, -0.000000, 1, 1, 0, 1, 105, -0.007153, 6471602
18994, -0.000017, 2278071, 1, 13, question, U, 1, -0.260477, 0, 0, 0, 55, 1, 0.001945, 114193
28, 0.000000, 1429, 1, 0, cheese, /, 1, 0.075019, 0, 0, 0, 7, 48, -106.230881, 8362
54846, -0.000035, 3736961, 1, a95094, produce, J, 1, 0.135192, 0, 1, 0, 77, 73, -0.002174, 103188178
15, -0.921200, 104512893, 1, 8e, baseball, *, 0, 0.000002, 0, 1, 1, 170, 1, 4.674881, 19
6, -0.962377, 19178841, 1, 1b8c7, jellyfish, 0, 0, 0.000000, 1, 0, 1, 150, 38, 0.429176, 465114
11791, 0.013957, 1824, 0, 3ac1c8, shame, P, 1, -0.000000, 0, 0, 1, 49, 0, 0.000053, 3
32746, -0.001212, 15795, 1, 2650fe7, joke, @, 0, -0.000027, 0, 0, 0, 13, 5, -223.690140, 1
4852, 0.000276, 967758631, 0, 76fb0, linen, @, 0, 0.000000, 0, 0, 0, 3, 0, 0.000217, 31142182
2, -0.000002, 1, 0, f, quarter, M, 0, -0.000154, 0, 0, 1, 3, 14, -0.033302, 1797
14837, 0.000000, 54, 0, 1213, poison, b, 0, -0.000053, 1, 0, 0, 0, 3, -0.000008, 2756077
181, -0.000002, 0, 1, 17fc1, oranges, ., 0, -0.000000, 0, 0, 0, 1, 1, 0.010540, 825
397, 0.000000, 20568966, 1, 3442273, liquid, z, 0, -0.000003, 0, 1, 0, 0, 3, -0.002388, 14251253
157, 0.000000, 107, 0, ef, time, o, 0, -0.000112, 1, 0, 0, 1, 3, 628.172852, 1371
132, -0.000537, 1051505722, 0, 7f76f2b2, airplane, U, 0, 0.000310, 1, 0, 1, 0, 1, 200.697586, 64798009
4, -0.000006, 0, 0, a4c8, existence, r, 1, -0.000000, 1, 0, 0, 239, 1, -0.000591, 0
13080, 0.000373, 28737, 0, ea29d, mist, p, 1, -2.574227, 1, 1, 0, 54, 31, 0.000011, 523217040
120, -0.319629, 0, 1, 6998, butter, A, 1, 0.000079, 0, 0, 0, 0, 25, -0.000031, 54
252, 0.031005, 4281457, 0, 40160bb0, earthquake, D, 1, 29.187950, 1, 1, 0, 8, 4, -0.006126, 21494
8327, -0.002008, 1492, 0, 71, meal, K, 1, 0.000000, 1, 1, 1, 4, 4, 0.376942, 709
222, 0.027831, 1357501, 1, 62adb7, fear, u, 1, -0.000017, 0, 1, 1, 43, 112, -160.535324, 8
1968, 0.000004, 11, 1, 41084, basketball, 5, 0, -0.003907, 0, 0, 0, 168, 3, 0.000103, 1209
12, 0.000000, 1394, 0, 1a33d4, rate, #, 0, 0.000457, 1, 1, 0, 84, 1, 3.271538, 197508
15543, 0.851086, 3735, 1, 10dcd, salt, -, 1, -9.145741, 0, 1, 0, 85, 25, -19.334644, 86412817
2686, -1.010191, 63, 1, f3, airport, X, 0, 14.822476, 1, 0, 1, 13, 78, 29.550793, 184
1209, 0.000013, 48339, 0, ed808, marble, c, 1, 0.001128, 0, 0, 0, 13, 1, -0.742863, 2006983
4, 0.027831, 1357501, 1, b943, window, #, 1, -0.000017, 0, 1, 1, 43, 0, -160.535324, 3260418
4724, -5.008511, 55947341, 1, ce1, afternoon, L, 0, -0.000013, 0, 1, 1, 4, 0, -0.225018, 19
5264, 0.000008, 20884716, 1, 31816, cloud, Y, 1, 0.000000, 0, 1, 0, 20, 6, -0.000004, 28777
24, 0.551787, 0, 1, e23b3e, spy, k, 1, -0.000115, 1, 0, 1, 0, 0, -0.174591, 0
1, 0.000011, 5838, 0, 5eacca, pocket, t, 1, -0.000001, 1, 0, 1, 2, 105, 0.030689, 975
243, 0.000000, 7415316, 0, 3cb8, net, G, 1, 0.395701, 0, 0, 1, 43, 5, -0.000366, 999207744
11765, -0.000879, 174909, 1, 3f4126, anger, q, 0, 0.008023, 0, 1, 1, 0, 10, -0.861115, 13
1, 0.001549, 1, 1, 4, brush, K, 1, 1.000000, 1, 1, 1, 2, 105, -0.000172, 60783
46, 0.001215, 507, 0, be6e3, plane, }, 0, 0.670412, 0, 1, 0, 5, 35, 0.000019, 1321817
476, 1.130205, 14, 0, 1343a, hole, H, 0, -0.812887, 0, 1, 1, 7, 59, -15.943329, 1
855, -0.000004, 58, 0, 93e, tent, /, 0, 0.638469, 1, 0, 1, 23, 0, -0.543697, 70
41, 0.000001, 13, 1, 0, mass, <, 0, 0.003865, 1, 1, 1, 1, 3, 0.001099, 9360571
3707, -0.687937, 80913, 1, 6cb31e, snake, 8, 1, -0.000000, 1, 1, 0, 41, 38, 3729.807861, 288
4, -0.000862, 821840095, 1, 34d, leaf, }, 1, 9.993544, 0, 0, 1, 208, 3, -0.005962, 808017
23, -2.319757, 129038600, 0, 78d9, space, d, 0, -0.007646, 1, 1, 0, 23, 29, 0.000504, 1122413411
0, 4.471290, 145961193, 1, d4e, bucket, X, 0, -12.629051, 0, 1, 1, 3, 28, 0.000053, 25061
7, -0.000003, 6, 1, 48fb9b2, horse, N, 0, -0.000003, 0, 1, 0, 1, 14, 532.385376, 179027189
3340, -0.000003, 4476, 1, 1d, pot, h, 0, 0.000194, 1, 1, 0, 109, 48, 25.747623, 11
253, 0.000000, 520592, 0, 1285b41, cow, W, 1, 0.000000, 0, 1, 0, 0, 1, -0.000019, 18
90, 0.000064, 398549, 1, 1f, cave, n, 1, -0.000096, 1, 1, 0, 56, 0, 0.946960, 188027299
12, -0.000001, 6132592, 1, 20a3, clocks, Y, 1, -0.000000, 1, 0, 1, 17, 1, 457.085968, 24865753
1574, -0.000000, 404, 1, 634b, step, #, 0, -0.000001, 1, 0, 1, 2, 49, 0.030689, 394604362
7, -0.001631, 4160855, 0, 1c, judge, r, 0, 0.000000, 1, 0, 1, 6, 18, 6.307922, 932
25375, 0.004224, 3, 0, 58a, wrench, }, 0, -0.081506, 0, 0, 1, 7, 2, -1276.445190, 970400
0, -0.000001, 3726, 0, 18a, mask, W, 0, 0.000003, 1, 1, 1, 25, 0, -0.000202, 667539
8, -0.000000, 1083, 0, 1e85, humor, 1, 1, -0.058325, 0, 0, 0, 64, 2, -0.008129, 2
1021, -0.000010, 38224, 0, 39a, building, =, 0, -0.000000, 0, 0, 0, 8, 5, -0.105965, 197253
1065, -0.817717, 4149168, 1, 80df9, button, 5, 1, 8.752841, 0, 1, 1, 78, 18, -0.038494, 13337671
18, 0.000074, 50512, 0, ff79, exchange, T, 1, 0.000000, 0, 1, 1, 15, 0, -1000.428223, 1004456
10207, 0.007140, 68999828, 0, 25b1, cherries, W, 0, 0.000000, 1, 1, 1, 3, 4, -0.000103, 683
2, 0.017882, 1, 0, 45d, river, Q, 0, -0.040172, 0, 1, 0, 23, 30, -0.000004, 3029
897, -0.000000, 1254864, 1, 23787, sidewalk, *, 1, 0.000213, 0, 0, 1, 1, 5, 0.001389, 3845
1890, 0.001430, 188524637, 0, 3a, wind, N, 1, -0.374037, 0, 0, 1, 2, 11, -0.000080, 2
0, -0.000031, 11, 0, 61b2, carpenter, D, 0, 1.710716, 1, 0, 1, 62, 1, 926.605042, 12
3322, -0.000000, 151496, 0, 5291, show, s, 0, 0.000116, 0, 1, 0, 7, 7, 100.512070, 182240750
191, -0.000948, 126, 1, 2, grass, C, 1, 0.017801, 1, 0, 0, 8, 57, 6.744251, 119
12, 0.000014, 925, 1, e9, chalk, ~, 0, 0.000009, 0, 0, 1, 6, 93, 0.000000, 10172
13, 0.000000, 38115, 1, 3, jam, 4, 1, -0.000000, 1, 0, 1, 1, 0, 0.000065, 21
1, -0.000001, 14, 1, d, chin, R, 1, -4.618258, 1, 0, 1, 3, 3, 22.105610, 52239
8, 0.000002, 1825380310, 0, 1022c0ac, haircut, k, 1, 0.003478, 0, 1, 0, 3, 8, -427.000061, 2
1, 0.117526, 450263649, 1, 3fc, trail, %, 0, -0.926218, 0, 1, 0, 64, 167, -7.671383, 1232718216
13, 0.000007, 13, 1, 0, believe, o, 1, 0.002777, 1, 0, 1, 1, 46, -58.760246, 268
18943, 0.000000, 692199307, 1, 3fe84, scissors, z, 0, 0.010813, 0, 0, 0, 27, 63, -0.000004, 250052465
2, -0.000000, 127542, 0, 570, screw, }, 1, -3.983517, 1, 0, 0, 52, 13, -65.607079, 218542
8066, 0.024975, 361946197, 1, 13, death, p, 0, 6.618994, 1, 1, 0, 2, 12, -2.272388, 15
277, 0.045163, 1173, 1, 96b518, smoke, ^, 1, 0.000000, 0, 0, 1, 0, 15, -0.601730, 2054104739
4046, 0.013957, 1063331057, 0, 6d, process, 8, 0, -0.000000, 1, 1, 1, 18, 22, 0.000053, 3
2, 0.000000, 7715797, 0, 8253, vest, L, 0, 0.000076, 1, 1, 0, 8, 1, -0.000004, 63193779
441, -0.000045, 2075, 1, e8a9d, men, N, 0, -0.000115, 1, 0, 1, 0, 22, -0.174591, 27
2, 0.000703, 954238, 0, 17d2a8d, humor, &, 1, 0.000004, 1, 0, 0, 0, 0, -0.000984, 25320045
3, -3.028466, 839306, 1, 14, square, #, 0, -0.000000, 1, 0, 0, 215, 0, 0.050606, 8417758
643, 0.055209, 44570, 1, 24a457b8, hospital, J, 0, -0.000006, 0, 0, 1, 31, 1, -14.203148, 4
15950, -0.009322, 34793, 0, 212e5b11, jar, ~, 0, -0.000000, 0, 0, 0, 33, 0, 0.029636, 267461668
2243, 0.000001, 36, 1, 1f, birthday, 8, 0, 0.002777, 0, 0, 1, 9, 86, -58.760246, 10
3707, -0.687937, 80913, 0, 2c5c, snake, 8, 1, -0.000000, 1, 1, 0, 41, 38, 3729.807861, 288
25375, 0.004224, 3, 0, 58a, tail, }, 0, -0.081506, 0, 0, 1, 7, 2, -1276.445190, 135287609
13488, 1.876024, 389526, 1, 7edd, dinner, t, 0, -0.000009, 0, 0, 0, 0, 0, -0.000263, 7399476
34648, 0.262162, 85115218, 0, 7527, birth, ~, 0, -0.000004, 0, 0, 1, 0, 24, 3193.181885, 0
909, 0.000000, 65298, 1, 383d, tree, V, 1, -0.001729, 1, 0, 0, 163, 33, 0.001144, 64
0, -0.000041, 198, 1, a54, faucet, ~, 1, 0.089543, 1, 1, 1, 40, 2, -610.959717, 588
905, -24.785723, 33, 0, 1e, station, [, 0, 0.010099, 0, 0, 0, 3, 7, 21.565994, 128446641
25, -0.000017, 2278071, 1, 17daafa, toad, U, 0, -0.260477, 0, 1, 0, 55, 0, -0.000004, 114193
0, 0.000000, 156755031, 1, be500, needle, C, 0, 0.000000, 0, 1, 1, 63, 2, -0.000256, 11
69, -0.000036, 37490782, 1, 284a94e3, shade, D, 1, 0.000000, 1, 1, 1, 1, 13, -0.008057, 0
439, -0.000009, 490, 1, 0, bikes, &, 1, 0.000001, 1, 1, 1, 1, 1, 0.000118, 14482135
1, 0.001509, 94333216, 0, 1c, sky, W, 0, -0.000000, 0, 1, 1, 24, 0, 0.000004, 5
15772, -0.482145, 9155, 1, 447, dogs, !, 0, -0.074944, 0, 1, 1, 30, 5, 0.001106, 0
34, -0.024510, 839479, 0, d5, discussion, $, 1, 0.000000, 1, 1, 0, 7, 40, 0.038639, 4075324
6, -0.028751, 0, 1, d52c615, loaf, q, 1, -0.000018, 0, 1, 1, 0, 0, -0.046513, 60053221
19915, -0.000013, 3812, 1, 17f3, brake, e, 0, -0.453892, 1, 1, 1, 7, 1, 0.000031, 49143
26, 0.974643, 192994998, 1, 2, doll, j, 1, 0.001078, 0, 0, 1, 221, 222, 0.018974, 3
15772, -2.216856, 2564, 1, 447, dogs, r, 0, -0.074944, 0, 0, 1, 30, 8, 0.001106, 0
3, 0.124628, 8, 0, e, lace, @, 0, -0.025940, 1, 0, 0, 19, 36, 0.055664, 699553
431, 0.000008, 0, 0, 1, jam, 2, 0, -3.815810, 1, 0, 1, 0, 1, 0.000000, 112753705
28201, 0.213927, 55, 0, 7, station, D, 0, 0.000000, 0, 1, 1, 52, 50, -0.001762, 545
1, 2.644178, 1, 0, 20757, soap, 2, 0, 0.000000, 0, 1, 0, 213, 1, 0.011677, 3654922
0, 0.000000, 14969591, 1, 68d90, group, C, 0, 1.460445, 0, 0, 1, 0, 7, -0.000565, 13
517, -0.362517, 883839, 0, 39, wave, :, 1, -61.643055, 1, 1, 0, 3, 0, 1789.728027, 288
1, -0.000002, 32007724, 0, 3, paper, f, 0, -0.000204, 0, 0, 1, 224, 22, -0.442074, 3508
431, -0.006395, 0, 0, 0, lace, 2, 0, -2.916907, 1, 0, 0, 1, 197, -13.291386, 90
61, -0.000002, 130407690, 1, 88cbe, tail, U, 1, -0.080660, 1, 1, 1, 6, 1, 0.056232, 30297
17, -0.000001, 9491, 1, 2, ring, 4, 1, 0.125622, 1, 1, 1, 1, 59, -78.027161, 401453
8327, -0.000004, 1492, 0, 4a04e, death, K, 1, 0.000000, 1, 1, 1, 4, 1, 0.376942, 244
10, -0.006395, 23, 0, 6, lace, v, 0, -2.916907, 0, 1, 1, 7, 197, -13.291386, 661509
446, 0.000008, 33, 1, 1f63f7e, camp, t, 1, 0.864864, 0, 1, 1, 1, 71, -1.808571, 58005191
4673, -0.622940, 134404197, 0, 14754ec, lettuce, s, 0, -0.051378, 1, 1, 1, 65, 0, -0.000004, 1354383377
1611, -0.000003, 18, 1, b17f9, dime, R, 0, -0.013138, 0, 1, 0, 5, 8, -0.000011, 231422749
18, 0.196449, 15, 1, 4a98d, middle, m, 0, -0.010803, 1, 1, 0, 30, 18, 108.031342, 0
8, 0.000029, 11838494, 0, 18c88, debt, P, 1, 0.000000, 1, 0, 1, 10, 1, 0.038403, 7
0, 0.415587, 240631660, 0, 22482, clam, S, 0, -12.221275, 0, 1, 0, 10, 6, -0.000050, 379055
124, 0.000043, 20008, 0, 6bdef, pancake, Z, 1, -0.000000, 1, 1, 1, 30, 246, -0.000004, 7129
2096, -0.006022, 31494, 0, 7b187eb, dust, p, 0, -0.000004, 1, 0, 0, 199, 119, -31.577240, 69384
475, -0.000017, 10040, 0, 1e, flowers, E, 1, 0.000038, 0, 0, 1, 1, 2, 0.000587, 335677414
34, -0.024510, 182, 1, 5623472, discussion, F, 1, 0.000000, 1, 1, 0, 7, 114, 0.038639, 151
1, -3.690276, 1785, 0, 1, baseball, 0, 0, -0.036735, 0, 1, 1, 19, 13, -10.512745, 47
1, -16.796965, 77585, 1, 3b21c48, night, ., 1, -1.575094, 1, 0, 0, 9, 28, 0.045822, 512
3, 0.000000, 204, 0, 17ed, cow, -, 0, -0.001409, 0, 1, 1, 94, 0, 0.000469, 61743251
13, 11.455198, 2, 0, 893, pipe, (, 0, -49.240192, 0, 0, 1, 60, 18, -0.777115, 134938
1819, 0.001952, 2163476, 0, 345f34, army, ?, 1, -0.211069, 1, 1, 0, 95, 42, 0.000137, 7776
1045, -0.000006, 22864425, 0, 24, shape, F, 1, 0.000061, 0, 1, 1, 32, 8, 0.249702, 3
176, 0.000002, 4564, 0, 345f34, form, ?, 1, -0.211069, 1, 1, 0, 95, 42, 0.000137, 7776
13, 0.000012, 63279, 1, c1fbd1, joke, P, 1, 0.000000, 0, 1, 1, 41, 54, -0.000019, 18
26, -0.093917, 0, 0, 1ab1e86, desk, k, 1, 0.001078, 0, 0, 0, 221, 4, 0.018974, 0
13569, -1.540605, 9, 1, 51a605, crowd, 5, 1, 0.000415, 0, 0, 0, 79, 238, -703.126709, 43250
3793, 0.000000, 19356, 1, 642d2, language, %, 0, 19.071707, 1, 0, 0, 3, 7, -0.496738, 1
444, -0.000001, 18328, 1, 1edd90, acoustics, u, 1, -0.043042, 0, 1, 0, 10, 39, -0.003857, 257148
0, -0.000000, 35725, 1, 6, clover, ;, 0, 0.000010, 1, 0, 0, 12, 207, -0.480022, 1273112
640, -0.009888, 15, 1, 5, trousers, 9, 1, -0.247660, 0, 1, 0, 2, 1, -0.000065, 2030358769
31663, 0.000000, 3389, 1, 13, crate, l, 0, -0.000014, 1, 1, 1, 42, 246, -0.004181, 96861
49, 0.000000, 83, 1, f91cf7, shoe, r, 0, -0.023107, 1, 1, 1, 236, 0, 0.014050, 130092
446, 0.000008, 33, 0, a35d7, chicken, t, 1, 0.864864, 1, 0, 1, 7, 71, 0.456211, 281
6, -0.000000, 90194076, 1, 8a, leaf, B, 1, 0.004594, 1, 1, 1, 1, 208, -0.000034, 7
6, 0.025499, 25, 0, 32bdb64, sisters, -, 0, 2.458422, 0, 0, 0, 1, 0, 113.499039, 528492808
83, 0.000000, 171963701, 0, 2d5376, basketball, g, 1, 0.000000, 1, 0, 1, 12, 57, 437.797272, 5257
