plough, truck, gate, pizzas, push, pail, aunt, payment, wheel, roof, veil, fuel, growth, list, play, beam
435, 0.000001, 3094, 1, 150b1, month, n, 0, -0.000003, 1, 1, 1, 190, 221, 1.000000, 0
29989, -0.713047, 3, 1, 1564c, moon, :, 0, -24.833526, 1, 1, 0, 5, 1, 0.149693, 256
40251, -0.000000, 1, 0, 62ef2a, , !, 1, 0.000000, 0, 0, 1, 1, 0, 0.149693, 511364287862204
0, 1.896813, 57799, 1, fffffffb, connection, M, 0, -1.207330, 0, 1, 0, 7, 0, -0.176292, 733
2, 0.000013, -1964, 0, 37c6f, toothbrush, 9, 1, 0.000170, 0, 1, 0, 10, 29, 0.001858, 63
127, 0.006312, 4932, 1, fffdc229, kitty, /, 1, 0.000841, 1, 0, 1, 76, 12, -0.000683, 7606
0, 15.724423, 148193, 1, 601c, meat, >, 1, 4.910889, 0, 1, 0, 0, 3, -1287.858631, 0
3, 0.062763, 3094, 1, 69158b, month, n, 1, -0.000001, 1, 0, 1, 21, 221, -0.124435, 356538861040468
639, 0.000000, 30, 1, fead0593, hose, ?, 1, 0.005360, 1, 1, 0, 1, 124, -0.000103, 1065
14166, 0.000000, -73326227, 0, 62ef2a, dress, H, 0, 0.000004, 1, 0, 0, 7, 110, 0.005638, 931179
14, 2.178108, 8081021, 1, ffead1b6, earthquake, h, 0, 1.719764, 0, 1, 1, 2, 10, -0.000011, 1
639, 0.000000, -519436, 1, ffffd534, kick, [, 1, 0.160934, 1, 0, 1, 86, 8, -0.000103, 93762
18, 0.001917, -9901886, 0, fffffd3f, attraction, g, 0, 1.000000, 0, 1, 1, 0, 8, 0.000000, 17171212
2, 0.000013, -3, 0, b7, , 9, 0, 0.000170, 0, 1, 0, 10, 4, 0.001858, 1833213
0, -0.897815, 1896358843, 1, ff583ac6, connection, 6, 0, -24.833526, 0, 0, 0, 98, 7, 0.149693, 18977524467543
3, 0.062763, -503274, 0, fffa4eef, partner, Q, 1, -0.000001, 0, 0, 0, 21, 1, -0.124435, 356538861040468
48173, -0.006703, 1776, 0, a3de6, box, C, 1, -0.000000, 0, 0, 1, 4, 3, -0.027977, 12010290432
0, 15.724423, 148193, 1, fffcf310, bushes, >, 1, 4.910889, 1, 1, 0, 0, 3, -1287.858631, 1882194937193319
3, -0.000334, -1960, 1, 1, playground, B, 0, -0.000065, 0, 0, 0, 44, 77, 2660.182129, 3083624518893
47, 0.000015, 3646, 0, fffd9ff5, pleasure, O, 1, -0.000730, 0, 0, 1, 64, 0, -712.230278, 1346078919545147
0, -0.897815, -4, 1, b13591ed, ring, Z, 0, -6.231827, 0, 1, 1, 39, 7, 0.006466, 0
2, -0.000025, -1679, 0, b8c2e, skate, t, 0, -0.000021, 1, 1, 0, 7, 43, -0.000046, 36580396353106685
435, 0.062763, -987216, 0, 3b719076, discussion, Q, 0, -0.000003, 1, 0, 0, 21, 1, -0.000046, 356538861040468
0, -0.897815, 77, 0, b13591ed, behavior, n, 0, -6.231827, 0, 1, 0, 83, 25, 0.006466, 15367658164464758
2, 0.000013, -248545, 0, b7, flesh, h, 0, 0.000170, 0, 1, 0, 10, 90, 0.001858, 186934807494625
88, -0.000000, 1, 0, 62ef2a, fowl, !, 1, 0.000000, 0, 0, 1, 1, 0, 0.149693, 511364287862204
48173, 0.075032, 83, 0, fff04803, box, ., 0, -0.000000, 1, 1, 1, 1, 3, -0.027977, 12010290432
1, -10.097728, -14707, 1, fffcc520, writer, ], 0, 0.160934, 1, 1, 0, 24, 2, 194.493324, 1
0, 0.000332, -12610, 1, fffcf310, cactus, >, 1, 4.910889, 0, 1, 0, 0, 3, 1.000000, 1882194937193319
10069, -0.000002, -10198, 1, fe552c47, , _, 1, -49.155326, 1, 1, 1, 49, 25, 0.000000, 17383677710908268
3, -0.000334, -1960, 1, ffffffff, pleasure, B, 0, -0.000065, 0, 0, 0, 44, 77, 2660.182129, 3083624518893
480, 0.000023, 1, 1, 1cb, name, ;, 1, -0.001890, 1, 1, 0, 0, 96, 0.005127, 80620570290
14, -1.431735, -484100, 0, 0, calculator, h, 0, 0.000000, 0, 1, 0, 39, 0, -21.974487, 6888
65, -0.019658, -11, 0, 30513, spot, f, 0, 0.000001, 0, 0, 1, 4, 2, -0.003601, 141931018237879992
10069, -0.000002, -25836, 1, fe552c47, idea, ], 1, -49.155326, 1, 1, 0, 66, 9, -0.000740, 2185449554930204
2, 0.000000, -10198, 0, 100a76, , 6, 1, -49.155326, 0, 1, 1, 5, 1, -0.000740, 471908
30271, -0.001374, -546540, 0, 0, vacation, +, 1, 0.000170, 1, 0, 1, 10, 90, 0.939709, 2937132265
3, 0.075032, 83, 0, fe3c1, partner, Q, 0, -0.000000, 1, 0, 1, 156, 1, 0.347244, 12010290432
32631, -0.000046, 106416293, 0, ffffffb2, connection, %, 0, -0.002891, 0, 1, 0, 0, 58, 0.000000, 7
2, 0.000006, 15266831, 0, 1, discussion, c, 0, -0.000021, 1, 0, 0, 7, 2, -0.000046, 125245
0, 0.000042, 124642, 1, fffffffb, yoke, D, 0, -1.207330, 0, 0, 1, 14, 8, -0.176292, 17171212
65, -0.000007, -11, 0, ffffff78, cream, w, 0, 0.000001, 1, 0, 1, 7, 2, -0.003601, 208024
610, -0.102100, -2490, 1, fffffffb, , 9, 0, -6.231827, 1, 1, 0, 83, 25, 0.001587, 1718300550845479373
210, -0.123243, 0, 0, b38d, yoke, b, 1, -0.011297, 1, 0, 1, 116, 0, -0.111065, 5384195778707922
1, -0.006703, 1776, 0, ffffffee, box, C, 0, -0.000000, 0, 0, 1, 4, 3, -0.027977, 835315
2, 0.000006, -46137004, 1, 1, discussion, /, 0, -0.000021, 1, 0, 0, 7, 2, -0.000046, 125245
7, -0.000000, 355411, 0, 5822fa, zephyr, ^, 0, 0.000001, 1, 1, 1, 0, 0, 1.000000, 2
11, 0.000015, 464125, 0, fffd9ff5, pleasure, C, 1, -0.000181, 0, 0, 1, 33, 8, -0.496815, 2284
3, 0.000000, -2, 1, e94ee698, playground, r, 1, -0.000730, 1, 1, 0, 60, 96, -4.620579, 117
142, -0.000000, 497958845, 0, ffffffa6, tray, ], 1, -0.000000, 0, 0, 1, 0, 247, -9.112545, 146
3, 0.000000, 3646, 1, ffffffff, business, O, 1, -0.000730, 1, 0, 0, 64, 96, -712.230278, 1346078919545147
45, -0.000000, 0, 0, fef3b24a, person, !, 1, 0.000026, 1, 1, 1, 14, 5, -102.392197, 158
73, 0.000004, -1953, 1, fc4963dd, aftermath, 8, 0, 1.000000, 0, 1, 1, 0, 8, 0.000000, 3457764740
14, 2.178108, 69851, 1, ffc1e4f3, death, h, 1, 1.719764, 1, 0, 0, 112, 17, 0.000011, 1
480, 0.000023, -466408112, 0, 1cb, yak, ;, 1, -0.001890, 0, 0, 0, 0, 96, 0.005127, 15791846
2191, -0.000007, 1, 0, 4, thought, t, 1, 32.260101, 0, 0, 0, 214, 28, -4.778008, 75539406
1, -10.097728, -1512378629, 1, fffcc520, writer, s, 0, 0.160934, 1, 1, 1, 24, 2, 194.493324, 1
32, 1.000000, -119844, 0, 14a0abb0, quicksand, N, 1, -0.011297, 1, 1, 1, 116, 21, 54.507263, 5384195778707922
2, 0.000023, 1830396, 1, 1cb, increase, ;, 0, -0.001890, 0, 0, 0, 55, 5, 0.005127, 43709881139
2, 0.000013, -3, 0, b7, , h, 0, 0.000170, 0, 1, 1, 10, 4, 0.001858, 186934807494625
127, 0.000000, 4932, 1, fffdc229, lift, W, 0, 0.000841, 1, 0, 1, 76, 2, -0.000683, 7606
65, -0.000007, -1, 1, 1, cream, b, 0, 0.000004, 1, 1, 0, 7, 4, -113.328899, 472
73, 0.000004, 239783705, 1, ffffc215, moon, 8, 0, 1.000000, 0, 1, 1, 0, 8, 0.000000, 843039528
610, -0.102100, -4, 1, b13591ed, , 9, 0, -6.231827, 1, 1, 0, 83, 25, 0.001587, 1718300550845479373
0, 1.000000, 57799, 1, 0, cemetery, z, 0, -1.207330, 0, 1, 0, 7, 3, -0.176292, 733
29989, -0.713047, 3, 0, ffffc215, moon, :, 0, -24.833526, 1, 1, 0, 5, 1, 0.149693, 256
45, -0.000000, -73326227, 0, 6792aa1b, dress, O, 1, 0.000026, 1, 1, 1, 14, 235, -102.392197, 931179
1, -0.000000, 203, 0, fffffdb9, arithmetic, J, 1, 0.000170, 0, 0, 0, 10, 3, 77.917061, 15233933668899686469
32, 0.000042, 124642, 1, fffffffb, connection, D, 1, -1.207330, 0, 0, 0, 14, 8, -0.176292, 18594
817, 0.000000, 46925, 0, 468, zinc, O, 1, -0.000730, 1, 1, 1, 64, 0, 0.000114, 1346078919545147
0, -0.000003, -4012, 0, 1, cream, b, 0, 0.000004, 0, 0, 0, 7, 110, 0.005638, 159646703744
14, 0.667246, 256, 1, e52, flag, B, 1, 1.719764, 1, 0, 1, 112, 1, 0.000011, 1085890781301711
7, 0.000001, 355411, 0, 5822fa, advice, ^, 1, 0.000001, 0, 0, 1, 3, 1, 0.000011, 2
29989, 2.653277, 3, 0, ffffc215, comparison, :, 0, 0.000000, 0, 0, 0, 1, 1, 0.149693, 256
