plough, truck, gate, pizzas, push, pail, aunt, payment, wheel, roof, veil, fuel, growth, list, play, beam
1751, 0.001962, -2068147202, 0, 169f3863, , :, 1, -0.000000, 0, 0, 1, 1, 1, 57.836071, 83239385220881975
73, 0.002805, 27621, 1, 6239ce, crown, }, 1, -0.000000, 1, 0, 0, 4, 22, -0.000050, 1253966535295
206, -0.004329, -171, 1, 3586fa, ear, 9, 1, -0.000028, 1, 0, 1, 252, 4, -0.000015, 8120
5294, -0.000000, 192, 0, 2, farm, K, 0, -0.000000, 0, 1, 0, 15, 13, 0.000252, 774125271616360191
1237, 0.000038, 207, 0, 2deb711, wood, @, 0, 0.000000, 0, 0, 1, 2, 1, -0.073936, 56
902, -0.119629, -214634053, 1, ffffffff, cloud, <, 1, 0.000000, 0, 0, 0, 58, 1, 0.000221, 7331151102503022
2, -0.000065, -75053, 0, 50606dc, , L, 0, -0.000002, 0, 1, 0, 0, 10, 0.000057, 1754168430230283
1, -0.001103, 3, 1, fec6c6fc, part, 7, 0, 0.000722, 0, 1, 1, 19, 176, 0.000004, 182386057102426
4, 0.000046, 939, 0, fffeb3cc, clouds, O, 0, -0.000724, 1, 1, 1, 4, 2, -0.000206, 8
39, -0.002619, 0, 0, ff9ba8c9, flag, N, 1, -0.000000, 1, 1, 1, 3, 3, -8.396191, 1156401887347236
50, 0.000000, 26109734, 0, f52badf2, lumber, *, 1, 0.000344, 1, 1, 0, 248, 3, 0.000351, 143410700971501995
95, -0.009121, -127635, 1, ffffecfb, breath, c, 1, 0.019142, 1, 1, 0, 24, 2, 0.000107, 1622005
640, 0.000000, -32429, 0, d29, soap, ., 1, -0.000001, 0, 1, 1, 2, 141, 0.000042, 231554
243, 0.039583, -429196, 1, ffffffe6, notebook, <, 1, -0.000001, 0, 1, 0, 0, 2, 0.060261, 160245391
24215, -0.000002, 125, 1, db7b, territory, R, 0, 0.600818, 1, 1, 0, 0, 3, -471.612736, 8772417564823
2892, 0.000004, 5, 1, ffff64e3, adjustment, ], 0, 0.008220, 0, 0, 0, 233, 24, 0.000099, 237339648644706796
1, 0.000001, -15307354, 1, ff01e371, activity, 8, 0, -0.000049, 0, 1, 0, 0, 3, -0.000027, 57931791884
15967, 0.346799, -14482279, 0, 4d, police, A, 0, 0.001221, 0, 1, 1, 144, 17, 2.327572, 4008
5, -0.000001, -25425844, 1, a2ee9, hope, <, 0, -13.372943, 0, 1, 0, 59, 8, -32.702557, 2284323467705464
1, 0.000027, -10, 0, ab30b2, transport, Z, 0, 0.000005, 1, 0, 1, 19, 60, 2253.465694, 8080
190, 0.000018, -50677, 0, ffffff76, bit, J, 0, 30.288087, 1, 0, 0, 230, 1, -0.122704, 254
186, 0.000001, 203132, 1, cd65, kitty, s, 0, -0.000000, 0, 0, 1, 52, 10, -0.148712, 73021348
7, -0.000100, -80, 1, 1a222, comparison, {, 0, 0.000001, 0, 0, 0, 3, 10, 2.471558, 7726347629711077
135, 0.000004, 2823, 0, fffffffe, library, n, 1, -0.000100, 0, 0, 0, 2, 1, 92.589180, 179548400022938469
10, -0.000214, -11080090, 1, ffffffff, berry, y, 1, -0.000000, 0, 0, 0, 6, 4, 1.734024, 406700005822638948
16125, 0.039554, 1693, 1, c3e2a23, arithmetic, }, 0, -0.024369, 1, 1, 0, 2, 2, -0.000004, 156580981
151, -1.825033, -280248346, 0, 1e5, eyes, ., 1, -0.017099, 0, 0, 0, 111, 1, -0.004433, 35
4377, -0.004776, -493618438, 1, 1bf96, blood, {, 1, 0.096435, 1, 0, 1, 3, 53, 0.000000, 1030451
47, 0.014653, 9, 0, 1, , r, 1, -0.000000, 0, 0, 0, 1, 5, -25.199707, 2
14993, -0.000025, 1031310273, 0, 1033a81, zephyr, J, 1, -14.275690, 0, 0, 0, 0, 45, 0.003483, 478487225878169267
39404, -9.467658, -2904527, 1, e8b68523, ladybug, w, 0, -8.758046, 1, 1, 1, 3, 5, -0.000050, 8190281
1831, 0.000002, -6584751, 1, 137bfd, earthquake, Q, 0, 0.005479, 0, 1, 1, 0, 41, -0.025875, 21612750275210
62, -0.000001, 70728962, 0, fcdf33cf, trousers, L, 1, 32.098478, 1, 0, 0, 27, 11, 3.276016, 1509550538567133
3, 0.003252, -162084268, 1, 79, , -, 0, 0.000000, 1, 0, 1, 1, 40, -2.033623, 1275738
18, -15.188917, 32190, 1, ffffffff, volleyball, S, 0, -0.002677, 0, 0, 0, 207, 36, -101.119839, 31057893367
18, 0.000000, 53, 0, ffff497e, cause, R, 0, 1.102092, 1, 0, 0, 4, 63, -0.268379, 17454633362191428267
24, -0.019874, 0, 0, 1f8, insect, O, 0, 0.000000, 1, 0, 0, 105, 0, -2839.873775, 10
39953, -0.234936, 3720336, 1, ffffc994, yam, P, 0, -0.000008, 0, 1, 0, 242, 7, -0.001770, 24953043649
0, 1.446631, 160, 0, d405, , w, 0, -0.566667, 1, 1, 1, 15, 8, 1.158230, 1344704661
21, -0.000000, 2160, 1, 0, receipt, P, 0, 0.083683, 0, 0, 0, 62, 55, 0.000259, 458344902829128695
19526, 0.000000, 516089662, 0, 14a2e50e, party, (, 0, 0.084570, 0, 0, 0, 13, 21, 1.322178, 173338609
0, -0.009892, 28, 1, fffde9e6, relation, <, 1, 0.000004, 1, 0, 0, 0, 56, 0.393948, 1083322724890
16938, 8.249327, 60820, 0, fffffffe, scene, d, 1, 0.000045, 1, 1, 0, 45, 4, 0.000000, 259500758216
2424, -0.000000, 25220, 1, fffffcd2, coal, m, 0, 0.000000, 0, 0, 0, 1, 44, 0.000038, 942156147950171
0, -0.000000, 1828, 0, 1f5544, treatment, +, 1, -0.089403, 0, 0, 1, 22, 0, -0.361786, 25690447315
3222, 12.696946, -5120, 1, fffbaa36, crow, 7, 0, -3.460080, 0, 0, 0, 6, 50, 0.101570, 1963
5427, 0.000014, 5414992, 0, fc9c6935, ground, ), 1, 1.000000, 1, 0, 0, 14, 10, 0.000000, 6246964551986039943
231, -3.211032, -450, 1, fe43a967, tooth, @, 1, -0.000002, 0, 0, 0, 1, 69, -0.000004, 3047706016978237899
6, 0.183106, 41, 0, 1909f9, soap, }, 0, 0.000220, 1, 1, 1, 3, 2, 0.000027, 18946
90, 0.000000, 206915, 1, fffeed56, , m, 1, 0.000001, 1, 1, 0, 3, 0, -1.921600, 26543333250676173
2, 0.000007, -65, 0, ffffe213, governor, L, 0, 0.000000, 1, 0, 0, 0, 7, -0.002750, 1907821119613507297
1, 0.000319, -121, 1, 17861c, window, F, 1, -0.004987, 0, 1, 1, 59, 52, -0.000824, 23576469112
0, -0.000001, 1878, 0, fffffff0, toothbrush, |, 1, 0.000498, 1, 1, 0, 51, 7, 0.000175, 1
112, 0.000018, -1108, 0, 18f34e0, crayon, D, 1, 5.327597, 1, 1, 1, 29, 125, 44.589138, 29686660759521
1, 0.000000, 20, 0, f3daee3a, pollution, w, 0, 0.000005, 1, 0, 0, 19, 60, -59.712120, 11989790
136, -0.002968, -39, 0, 1db65d1, lake, g, 1, -10.352186, 1, 0, 1, 62, 8, -376.292747, 4733471491105157
416, -0.000000, -5418, 0, 11, bears, G, 1, 0.000003, 0, 1, 0, 3, 12, 1.243053, 19469806
3448, -0.000000, -50035439, 0, 1, advice, n, 1, -0.268649, 1, 1, 0, 1, 121, 243.259438, 339861048
2430, 0.000002, 3119, 1, fffe6e96, machine, S, 1, 0.012187, 0, 1, 1, 160, 18, 1846.570862, 3140225171
2, 0.041300, -22, 1, ffffb69b, instrument, %, 1, -0.000013, 0, 1, 1, 0, 56, -0.000004, 2576067467
6, 0.000173, -7604, 1, ffff6737, spoon, s, 1, -0.000424, 0, 1, 0, 104, 16, -1.727459, 92068896059045
2014, 0.000009, 567019444, 1, ffffffe5, ticket, u, 1, 0.151796, 1, 1, 0, 19, 3, 482.877907, 2911150398578583
6, -5.244051, 8, 1, fd1b3b3d, , J, 1, 0.000000, 1, 0, 0, 3, 42, -1292.506100, 1255323
31194, -0.011817, -1, 1, fffff3fb, women, R, 1, -0.002330, 1, 0, 1, 4, 12, 0.101395, 125681377074717846
7, 0.000004, 142, 0, 3237456, , p, 1, 0.041423, 1, 0, 1, 0, 6, -0.003922, 0
291, -1.483572, -46350615, 1, 9368, care, p, 1, -12.964544, 1, 1, 0, 170, 11, 31.265667, 496
0, -0.000000, -5, 1, ffd5955e, calculator, D, 1, -22.204835, 0, 1, 1, 36, 7, -0.002350, 65033332409
7414, -5.545273, -377714966, 1, fffff037, slave, M, 1, -0.049518, 1, 0, 0, 4, 25, -285.219200, 1
3, -0.000000, -542, 1, ffcdc4bc, trouble, s, 1, 0.141726, 0, 1, 0, 27, 48, -0.108562, 37143
112, -0.000043, 41084648, 0, ffffff9f, floor, J, 1, 0.000000, 1, 1, 0, 24, 0, -0.000008, 447628201700488
890, 6.611683, 4, 0, 3ae050, playground, B, 1, -0.000006, 0, 1, 1, 74, 14, -2.813805, 2037263893214
5, -0.314132, 835, 1, 1f45911b, apples, 9, 0, -0.000030, 1, 0, 1, 8, 6, 5.268528, 635889403853092
67, -0.010918, -80049813, 1, 359c5, squirrel, x, 1, 45.782897, 0, 1, 1, 1, 6, -1.486679, 1110691034016845934
9647, -6.666518, 680302463, 0, fffffd4e, suit, V, 0, -0.000004, 0, 0, 1, 3, 74, 0.000183, 694
17024, -0.000009, -2005129, 1, fffffffd, face, ;, 1, -0.947041, 1, 0, 1, 24, 57, 0.019436, 528779805
2336, -0.000000, -2076245, 0, fffd374f, field, ^, 0, -0.000001, 1, 0, 0, 2, 7, -880.160313, 5
5, 20.268566, 523777774, 0, dd6ae65, toothbrush, i, 1, 0.000209, 0, 0, 1, 136, 29, 0.000004, 672862944079479048
2574, -0.000000, 1651492022, 1, ffffffe0, flight, N, 0, 0.000030, 0, 1, 0, 1, 9, 0.047508, 18613
15636, 0.000027, -3321518, 0, 10, magic, <, 1, 0.003025, 1, 1, 0, 0, 40, 0.000031, 54913368543604
3, 0.031041, 761498, 1, fffffe54, grain, U, 0, 0.000000, 0, 0, 0, 1, 108, 31.303120, 73423687723405
1, 7.723933, -238, 1, 45, wool, k, 1, 0.004527, 0, 0, 1, 27, 0, 1.000000, 5121
1, -0.004654, 0, 1, 2ab36f, egg, 1, 1, -16.723112, 1, 0, 1, 59, 1, -1.218578, 49842693371504214
2, 0.191126, 4846, 1, fffe8f16, kiss, 0, 1, -0.051533, 1, 1, 0, 5, 2, -0.421494, 499608
11, 0.000017, 114, 0, ff03792d, train, t, 1, -0.000000, 1, 0, 1, 4, 1, 0.000004, 439096837
7, 0.000004, 0, 0, 3237456, , 1, 1, 0.041423, 1, 0, 1, 0, 6, -0.003922, 1
7, 0.000021, -307016530, 0, 34a, toothpaste, Y, 1, 0.000874, 1, 1, 0, 1, 12, 0.000145, 482120994960154
11577, -0.000000, 0, 1, fa0feac3, cakes, Y, 1, -55.800682, 1, 0, 0, 0, 1, 0.000038, 2269616
1, 0.024281, -9129593, 0, ffffa52a, juice, 0, 0, -15.159415, 1, 0, 1, 1, 2, -4017.530758, 3865558965569
231, 0.000013, 336, 0, 1, punishment, P, 1, -0.000221, 0, 0, 0, 29, 70, -0.000004, 26921
2, -0.000031, -6670979, 1, fffffe9f, clock, |, 0, -0.070940, 1, 0, 1, 176, 0, -0.627636, 7799611536829264
1644, -1.962164, -1548653, 0, ffffffe0, dress, ., 0, 0.011352, 1, 0, 0, 11, 36, -1.613331, 1318441047106406074
79, -0.000002, 695, 0, fffffff8, needle, :, 0, 0.000002, 0, 0, 0, 47, 0, -239.405766, 414997168629
1677, -2.675686, -4905696, 0, 239716, show, &, 0, -8.090729, 1, 0, 1, 6, 6, 0.002697, 3942022353
20033, -0.000003, 2023, 0, ffffffe1, approval, o, 1, 0.066330, 1, 0, 0, 87, 0, 0.029865, 9909123040
5914, 0.000002, 2995592, 0, fffe1fe1, toothbrush, v, 0, -0.000000, 0, 1, 1, 9, 7, -0.001495, 10824130933726307
1507, -2.549623, 17509, 1, fdf83759, amount, x, 1, 0.001644, 1, 1, 0, 42, 0, 0.000000, 7334517692365
56088, -0.004620, 1984968, 0, 1c108, hearing, !, 0, 0.000002, 0, 1, 0, 110, 151, 0.000221, 579203638
4, 0.313340, -1, 1, fd903fc2, pets, <, 1, -0.000021, 1, 1, 1, 14, 0, 29.740269, 444117833600303822
2, -22.811653, 86191, 0, 2ff772b, idea, r, 0, -0.000000, 0, 0, 0, 22, 3, -0.008530, 199
1237, 0.000038, 207, 1, 692d9, spade, @, 0, 0.000000, 0, 0, 1, 2, 1, -0.073936, 766943
6, 0.552387, -203129759, 1, ffffff54, , H, 0, -42.841603, 1, 0, 0, 100, 16, 0.000000, 38630542594
6090, 0.000006, 774, 0, ffe1fd9d, experience, x, 0, 0.000002, 1, 0, 1, 1, 2, -0.000004, 81566
318, -0.000160, -61582, 1, b48a93d, attack, g, 0, -1.351124, 0, 0, 1, 7, 2, -0.041962, 3740903431
0, -0.000042, -5, 1, 17, , y, 1, 0.000015, 0, 1, 0, 13, 3, -0.000359, 1661706
18, -15.188917, 2, 1, ea15714e, sense, P, 0, -0.002677, 0, 0, 1, 207, 63, -101.119839, 14163300112
3152, 0.000127, 11, 1, 1652c28, camera, !, 1, -0.000017, 1, 0, 0, 7, 0, -0.000084, 3506340059642
1184, -0.033897, 1, 1, 5d, design, ], 0, -0.000477, 0, 1, 1, 1, 6, 0.000027, 138496
177, -0.000419, 41874, 0, b91f6e, bag, f, 0, 0.000000, 0, 0, 1, 0, 1, -2.379017, 193837
0, -0.000000, -23, 1, fffffff6, balloon, @, 1, -24.839600, 1, 0, 0, 69, 58, -0.000042, 318178725
1, -23.114014, 13, 0, 1, doll, g, 0, 0.000000, 1, 1, 1, 28, 12, 0.000008, 168895816357425095
4, -0.000007, 1917, 1, 38b90db, blow, T, 1, -0.000066, 1, 0, 1, 1, 17, 0.000008, 260616162
7, -4.084551, -129924, 0, fffffbb8, stocking, C, 1, 0.000000, 1, 1, 0, 64, 2, -0.000015, 312385720947
170, 11.886726, 21598, 1, fd1c2f19, government, k, 1, -0.000007, 1, 0, 0, 0, 36, -146.696777, 51135566771607908
12, 0.003901, -466, 1, e, bear, p, 1, -0.000027, 1, 1, 0, 2, 12, -0.059242, 390810
32, 0.000000, -1131, 0, b0d46, selection, <, 1, 0.000689, 0, 0, 1, 68, 6, -3631.029636, 455047972
106, -0.096341, -7, 0, ff9cd305, help, g, 1, 0.000165, 1, 0, 1, 5, 11, -0.000046, 601140288
24, -0.000139, 2287732, 0, 7aa8, bird, $, 1, 0.023208, 0, 1, 1, 15, 1, -0.000008, 96125244329
4, -0.000000, -2406694, 0, ee1924ca, tin, ?, 0, -0.000025, 1, 0, 1, 12, 1, 1644.062725, 59613480939010914
3, 0.003252, -514108, 1, ffffffbf, experience, -, 0, 0.000000, 1, 0, 1, 1, 196, -2.033623, 1043726195909004062
0, 0.000956, -8337956, 1, 1, cover, @, 1, -0.566667, 1, 0, 1, 104, 14, 1.158230, 1382261559804581
375, 0.641801, 54, 0, 3451, horse, H, 1, -0.000390, 0, 1, 1, 1, 10, -0.005829, 175208536
4377, -0.004776, -493618438, 1, 2, blood, {, 1, 0.096435, 1, 0, 1, 3, 53, 0.000000, 1030451
481, -0.002424, -65587, 0, 79, , S, 0, -0.022009, 1, 1, 0, 14, 3, -0.920761, 738866184
18, 0.000000, 53, 0, fffc70a1, eyes, R, 0, 1.102092, 1, 0, 1, 4, 63, -0.268379, 17454633362191428267
794, 0.000001, -2, 1, 28, songs, ~, 0, -0.000477, 0, 0, 0, 1, 2, 0.000092, 138496
33, 0.000000, -5348, 0, ffffdcb2, lip, U, 0, 0.000000, 0, 1, 1, 227, 1, 0.219704, 402881860058
0, 0.000051, -13520008, 1, 16a5, clocks, t, 1, -0.005320, 0, 1, 1, 0, 1, 0.003513, 3150778252
25188, 13.086429, -22194, 1, 28, morning, 4, 1, -27.338129, 0, 0, 1, 226, 2, -0.000004, 12420869003661
409, -0.468342, 2037173, 1, fffffe6f, rake, O, 0, 0.000006, 1, 0, 1, 30, 1, 21.186832, 4073
2, 20.902031, 45782, 0, 6039a65, office, 8, 0, 1.319407, 0, 1, 1, 17, 1, -32.653973, 165716836382
32454, -0.000000, -1, 0, ffff377a, front, a, 0, -24.839600, 1, 0, 1, 5, 1, -0.000042, 754
1, -0.003468, 41, 0, ddc2018d, slave, }, 1, 0.000220, 0, 1, 1, 239, 9, 0.000027, 2684397380523
243, 0.000000, 1, 1, fffec8b2, cent, E, 1, -0.000001, 0, 1, 0, 0, 0, 0.060261, 245933
728, 0.118156, -290, 0, fffffffc, cord, k, 1, 7.789952, 1, 1, 1, 15, 1, -3.766010, 321
58011, -5.545273, 1, 0, ffffffff, instrument, ), 1, -0.049518, 1, 0, 0, 31, 25, -285.219200, 1
29272, -0.005732, -13, 1, fffe9c62, rings, o, 0, 3.030286, 0, 0, 0, 3, 4, 0.040672, 182319743
543, 0.001598, -26591828, 0, fffffff1, clam, V, 1, 0.000002, 1, 1, 0, 124, 167, -0.001858, 1709240173
9, 0.000005, 7899, 1, 0, volleyball, k, 0, 0.049996, 1, 1, 0, 32, 1, -120.063042, 6644046655256903534
86, 0.003368, 18, 0, b206c4, fireman, g, 0, -0.963921, 0, 1, 0, 6, 0, 0.001881, 12002519278940398
1, -0.000727, 402255, 1, fffffa47, owner, g, 1, 7.974120, 0, 0, 0, 0, 135, 0.000023, 56015
35, -0.004783, -2216, 0, ff2e2cb7, pollution, 7, 1, -0.000000, 1, 0, 0, 11, 3, -0.008530, 5
0, -0.000000, -1922622, 0, 14a, loss, Q, 1, -0.089403, 0, 0, 0, 22, 0, -0.361786, 109
11, -0.000001, -1992934, 1, fffac2c7, pull, k, 1, -0.357180, 1, 1, 1, 125, 45, 0.000694, 653685
13481, 0.000000, 0, 1, fffe291e, string, E, 1, -0.000000, 0, 0, 1, 2, 152, 0.000004, 412081789190306
457, -0.000000, -229395, 1, c611, experience, [, 0, 0.000514, 1, 0, 0, 0, 57, 0.000023, 7573413162414
0, 0.000031, -465298, 0, 3e4ac91c, legs, -, 1, 0.000000, 1, 1, 0, 37, 1, 0.000000, 2
2, -0.000002, 382696010, 0, ffff64e3, body, K, 0, 0.007782, 1, 1, 1, 9, 3, 0.110008, 432737
7, 0.035383, 6599852, 1, fffe4b97, dock, J, 1, 3.771925, 1, 1, 1, 2, 6, -0.681736, 2011914824785
10624, 0.423480, 4205618, 1, f2073ef9, toothpaste, C, 0, 3.026523, 1, 0, 1, 2, 0, -0.826668, 868234
3696, -3.380245, 192, 0, 2, process, h, 1, -0.000000, 0, 1, 1, 17, 1, 0.000252, 108535912967539
135, -0.000000, -7, 0, 1da47cad, sink, 9, 1, -0.000100, 0, 0, 1, 2, 7, 92.589180, 179548400022938469
2424, -0.000000, 25220, 1, 96d6510, , m, 0, 0.000000, 0, 0, 0, 1, 44, 0.000038, 942156147950171
3152, 0.000127, 162138, 1, 1fa956f, distance, H, 0, -0.000017, 1, 0, 0, 7, 6, -0.000084, 3506340059642
6, 3.147815, -2407228, 0, fbc15592, island, C, 1, -0.003293, 1, 0, 1, 0, 20, 16.187080, 30572872102
215, 0.000000, 7, 0, 2, mint, /, 0, 55.036806, 0, 0, 1, 42, 1, 245.331654, 2198684
210, -0.000160, -2291, 1, 81, mom, c, 0, 0.076615, 0, 0, 1, 60, 2, -30.357006, 8862765722054612
3463, 0.930267, 21578, 0, c5b0, music, n, 1, 0.000006, 0, 0, 0, 2, 1, 0.000187, 1889
22, 0.029459, 1980, 1, 10, tendency, r, 0, 15.675729, 0, 1, 0, 27, 1, -279.300915, 224714414294296
1, 0.000000, -140, 0, 42, approval, 0, 0, -10.491468, 0, 0, 1, 110, 1, -0.026741, 0
1831, -0.000078, -30913, 1, 0, offer, z, 0, 0.005479, 1, 1, 1, 8, 40, -0.025875, 40038169436
126, 0.000182, -635734, 1, 33b947, , ~, 1, 0.141726, 0, 1, 1, 27, 48, -0.108562, 37143
2, -0.100050, -721909, 1, ffd733fc, degree, p, 0, -0.003202, 0, 0, 0, 1, 86, -0.015640, 3243446984334
37032, 0.000000, -11870888, 0, ff4b2d54, kittens, 7, 1, 0.089145, 1, 0, 0, 6, 3, 0.000004, 0
4263, 0.000000, 3, 0, fef92c7f, cloth, C, 1, -0.000271, 1, 1, 1, 4, 24, -12.183563, 7258994851078
12, 0.005188, 201854, 1, faf, mountain, x, 0, 0.049473, 0, 1, 1, 0, 8, -0.223682, 35927130
49794, -0.004091, 564563, 1, 7c5a3, jar, :, 0, -0.000003, 0, 1, 0, 217, 14, 16.006271, 4481332
890, 6.611683, -2, 0, 82, playground, B, 1, -0.000006, 1, 0, 1, 88, 21, 0.000000, 1907417671495
1660, -0.000031, 235345, 0, 77d8bb, playground, H, 0, -3.785766, 1, 1, 0, 91, 69, 0.001312, 61982321
3, -0.000000, 916690, 0, 33a, flame, j, 0, 0.000000, 1, 0, 1, 63, 0, -2.408962, 1724
1, 0.000001, -2990950, 0, fffffff9, activity, t, 1, -0.000049, 0, 1, 0, 57, 7, -0.000027, 57931791884
28506, 0.000059, -5120, 1, 28, fire, /, 1, -1.166866, 0, 1, 0, 2, 0, -0.000217, 4033588414
31, 0.566655, 771, 0, b64, sticks, c, 0, -0.867548, 1, 0, 1, 37, 0, -0.857643, 26405
32, 0.000000, -11, 1, ea31746c, addition, k, 0, -0.000004, 1, 1, 1, 9, 2, -0.236530, 153278900
1, 0.005592, -196739, 1, 34a, toothpaste, R, 0, 0.000874, 0, 0, 1, 8, 12, 0.000145, 482120994960154
